"depth","band","depth_in_band","enemy_health_multiplier","enemy_damage_multiplier","reward_power_multiplier","material_yield_multiplier","sample_power_from_2","sample_power_from_5","sample_normal_weapon_scrap","sample_magic_weapon_scrap","sample_magic_essence","sample_rare_weapon_scrap","sample_rare_essence","sample_rare_alter_stone"
"1","1","0","1","1","1","1","2","5","4","8","1","16","2","1"
"2","1","1","1.08","1.05","1.055","1.03","3","6","4","8","1","16","2","1"
"3","1","2","1.16","1.1","1.11","1.06","3","6","4","8","1","17","2","1"
"4","1","3","1.24","1.15","1.165","1.09","3","6","4","9","1","17","2","1"
"5","1","4","1.32","1.2","1.22","1.12","3","7","4","9","1","18","2","1"
"6","1","5","1.4","1.25","1.275","1.15","3","7","5","9","1","18","2","1"
"7","1","6","1.48","1.3","1.33","1.18","3","7","5","9","1","19","2","1"
"8","1","7","1.56","1.35","1.385","1.21","3","7","5","10","1","19","2","1"
"9","1","8","1.64","1.4","1.44","1.24","3","8","5","10","1","20","2","1"
"10","1","9","1.72","1.45","1.495","1.27","3","8","5","10","1","20","3","1"
"11","2","0","1.8","1.5","1.55","1.3","4","8","5","10","1","21","3","1"
"12","2","1","1.944","1.575","1.63525","1.339","4","9","5","11","1","21","3","1"
"13","2","2","2.088","1.65","1.7205","1.378","4","9","6","11","1","22","3","1"
"14","2","3","2.232","1.725","1.80575","1.417","4","10","6","11","1","23","3","1"
"15","2","4","2.376","1.8","1.891","1.456","4","10","6","12","1","23","3","1"
"16","2","5","2.52","1.875","1.97625","1.495","4","10","6","12","1","24","3","1"
"17","2","6","2.664","1.95","2.0615","1.534","5","11","6","12","2","25","3","2"
"18","2","7","2.808","2.025","2.14675","1.573","5","11","6","13","2","25","3","2"
"19","2","8","2.952","2.1","2.232","1.612","5","12","6","13","2","26","3","2"
"20","2","9","3.096","2.175","2.31725","1.651","5","12","7","13","2","26","3","2"
"21","3","0","3.24","2.25","2.4025","1.69","5","13","7","14","2","27","3","2"
"22","3","1","3.4992","2.3625","2.534638","1.7407","6","13","7","14","2","28","3","2"
"23","3","2","3.7584","2.475","2.666775","1.7914","6","14","7","14","2","29","4","2"
"24","3","3","4.0176","2.5875","2.798913","1.8421","6","14","7","15","2","29","4","2"
"25","3","4","4.2768","2.7","2.93105","1.8928","6","15","8","15","2","30","4","2"
"26","3","5","4.536","2.8125","3.063188","1.9435","7","16","8","16","2","31","4","2"
"27","3","6","4.7952","2.925","3.195325","1.9942","7","16","8","16","2","32","4","2"
"28","3","7","5.0544","3.0375","3.327463","2.0449","7","17","8","16","2","33","4","2"
"29","3","8","5.3136","3.15","3.4596","2.0956","7","18","8","17","2","34","4","2"
"30","3","9","5.5728","3.2625","3.591738","2.1463","8","18","9","17","2","34","4","2"
"31","4","0","5.832","3.375","3.723875","2.197","8","19","9","18","2","35","4","2"
"32","4","1","6.29856","3.54375","3.928688","2.26291","8","20","9","18","2","36","5","2"
"33","4","2","6.76512","3.7125","4.133501","2.32882","9","21","9","19","2","37","5","2"
"34","4","3","7.23168","3.88125","4.338314","2.39473","9","22","10","19","2","38","5","2"
"35","4","4","7.69824","4.05","4.543128","2.46064","10","23","10","20","2","39","5","2"
"36","4","5","8.1648","4.21875","4.747941","2.52655","10","24","10","20","3","40","5","3"
"37","4","6","8.63136","4.3875","4.952754","2.59246","10","25","10","21","3","41","5","3"
"38","4","7","9.09792","4.55625","5.157567","2.65837","11","26","11","21","3","43","5","3"
"39","4","8","9.56448","4.725","5.36238","2.72428","11","27","11","22","3","44","5","3"
"40","4","9","10.03104","4.89375","5.567193","2.79019","12","28","11","22","3","45","6","3"
"41","5","0","10.4976","5.0625","5.772006","2.8561","12","29","11","23","3","46","6","3"
"42","5","1","11.337408","5.315625","6.089467","2.941783","13","31","12","24","3","47","6","3"
"43","5","2","12.177216","5.56875","6.406927","3.027466","13","33","12","24","3","48","6","3"
"44","5","3","13.017024","5.821875","6.724387","3.113149","14","34","12","25","3","50","6","3"
"45","5","4","13.856832","6.075","7.041848","3.198832","15","36","13","26","3","51","6","3"
"46","5","5","14.69664","6.328125","7.359308","3.284515","15","37","13","26","3","53","7","3"
"47","5","6","15.536448","6.58125","7.676768","3.370198","16","39","13","27","3","54","7","3"
"48","5","7","16.376256","6.834375","7.994229","3.455881","16","40","14","28","3","55","7","3"
"49","5","8","17.216064","7.0875","8.311689","3.541564","17","42","14","28","4","57","7","4"
"50","5","9","18.055872","7.340625","8.629149","3.627247","18","44","15","29","4","58","7","4"
"51","6","0","18.89568","7.59375","8.94661","3.71293","18","45","15","30","4","59","7","4"
"52","6","1","20.407334","7.973438","9.438673","3.824318","19","48","15","31","4","61","8","4"
"53","6","2","21.918989","8.353125","9.930737","3.935706","20","50","16","31","4","63","8","4"
"54","6","3","23.430643","8.732812","10.4228","4.047094","21","53","16","32","4","65","8","4"
"55","6","4","24.942298","9.1125","10.914864","4.158482","22","55","17","33","4","67","8","4"
"56","6","5","26.453952","9.492188","11.406927","4.26987","23","58","17","34","4","68","9","4"
"57","6","6","27.965606","9.871875","11.898991","4.381257","24","60","18","35","4","70","9","4"
"58","6","7","29.477261","10.251562","12.391054","4.492645","25","62","18","36","4","72","9","4"
"59","6","8","30.988915","10.63125","12.883118","4.604033","26","65","18","37","5","74","9","5"
"60","6","9","32.50057","11.010937","13.375181","4.715421","27","67","19","38","5","75","9","5"
"61","7","0","34.012224","11.390625","13.867245","4.826809","28","70","19","39","5","77","10","5"
"62","7","1","36.733202","11.960156","14.629943","4.971613","30","74","20","40","5","80","10","5"
"63","7","2","39.45418","12.529688","15.392642","5.116418","31","77","20","41","5","82","10","5"
"64","7","3","42.175158","13.099219","16.15534","5.261222","33","81","21","42","5","84","11","5"
"65","7","4","44.896136","13.66875","16.918039","5.406026","34","85","22","43","5","86","11","5"
"66","7","5","47.617114","14.238281","17.680737","5.55083","36","89","22","44","6","89","11","6"
"67","7","6","50.338092","14.807812","18.443436","5.695635","37","93","23","46","6","91","11","6"
"68","7","7","53.059069","15.377344","19.206134","5.840439","39","97","23","47","6","93","12","6"
"69","7","8","55.780047","15.946875","19.968833","5.985243","40","100","24","48","6","96","12","6"
"70","7","9","58.501025","16.516406","20.731531","6.130047","42","104","25","49","6","98","12","6"
"71","8","0","61.222003","17.085938","21.49423","6.274852","43","108","25","50","6","100","13","6"
"72","8","1","66.119763","17.940234","22.676412","6.463097","46","114","26","52","6","103","13","6"
"73","8","2","71.017524","18.794531","23.858595","6.651343","48","120","27","53","7","106","13","7"
"74","8","3","75.915284","19.648828","25.040778","6.839588","51","126","27","55","7","109","14","7"
"75","8","4","80.813044","20.503125","26.22296","7.027834","53","132","28","56","7","112","14","7"
"76","8","5","85.710804","21.357422","27.405143","7.216079","55","138","29","58","7","115","14","7"
"77","8","6","90.608565","22.211719","28.587326","7.404325","58","143","30","59","7","118","15","7"
"78","8","7","95.506325","23.066016","29.769508","7.592571","60","149","30","61","8","121","15","8"
"79","8","8","100.404085","23.920312","30.951691","7.780816","62","155","31","62","8","124","16","8"
"80","8","9","105.301846","24.774609","32.133874","7.969062","65","161","32","64","8","128","16","8"
"81","9","0","110.199606","25.628906","33.316056","8.157307","67","167","33","65","8","131","16","8"
"82","9","1","119.015574","26.910352","35.148439","8.402026","71","176","34","67","8","134","17","8"
"83","9","2","127.831543","28.191797","36.980822","8.646746","74","185","35","69","9","138","17","9"
"84","9","3","136.647511","29.473242","38.813205","8.891465","78","195","36","71","9","142","18","9"
"85","9","4","145.46348","30.754688","40.645589","9.136184","82","204","37","73","9","146","18","9"
"86","9","5","154.279448","32.036133","42.477972","9.380903","85","213","38","75","9","150","19","9"
"87","9","6","163.095417","33.317578","44.310355","9.625623","89","222","39","77","10","154","19","10"
"88","9","7","171.911385","34.599023","46.142738","9.870342","93","231","39","79","10","158","20","10"
"89","9","8","180.727353","35.880469","47.975121","10.115061","96","240","40","81","10","162","20","10"
"90","9","9","189.543322","37.161914","49.807504","10.35978","100","250","41","83","10","166","21","10"
"91","10","0","198.35929","38.443359","51.639887","10.604499","104","259","42","85","11","170","21","11"
"92","10","1","214.228034","40.365527","54.480081","10.922634","109","273","44","87","11","175","22","11"
"93","10","2","230.096777","42.287695","57.320275","11.240769","115","287","45","90","11","180","22","11"
"94","10","3","245.96552","44.209863","60.160468","11.558904","121","301","46","92","12","185","23","12"
"95","10","4","261.834263","46.132031","63.000662","11.877039","127","316","48","95","12","190","24","12"
"96","10","5","277.703007","48.054199","65.840856","12.195174","132","330","49","98","12","195","24","12"
"97","10","6","293.57175","49.976367","68.68105","12.513309","138","344","50","100","13","200","25","13"
"98","10","7","309.440493","51.898535","71.521244","12.831444","144","358","51","103","13","205","26","13"
"99","10","8","325.309236","53.820703","74.361437","13.149579","149","372","53","105","13","210","26","13"
"100","10","9","341.177979","55.742871","77.201631","13.467714","155","387","54","108","13","215","27","13"
