"frontline_level","band","level_in_band","incoming_pressure_multiplier","defense_output_multiplier","pressure_capacity_multiplier","progress_requirement_multiplier","reward_multiplier","sample_push_pressure_per_second","sample_base_defense_per_second","sample_push_gold_per_minute","sample_push_scrap_per_minute","milestone_gold","milestone_scrap","next_band_level"
"1","1","0","1","1","1","1","1","13","13","34.5","4.6","0","0","11"
"2","1","1","1.07","1.025","1.04","1.05","1.05","13.91","13.325","36.225","4.83","0","0","11"
"3","1","2","1.14","1.05","1.08","1.1","1.1","14.82","13.65","37.95","5.06","0","0","11"
"4","1","3","1.21","1.075","1.12","1.15","1.15","15.73","13.975","39.675","5.29","0","0","11"
"5","1","4","1.28","1.1","1.16","1.2","1.2","16.64","14.3","41.4","5.52","0","0","11"
"6","1","5","1.35","1.125","1.2","1.25","1.25","17.55","14.625","43.125","5.75","0","0","11"
"7","1","6","1.42","1.15","1.24","1.3","1.3","18.46","14.95","44.85","5.98","0","0","11"
"8","1","7","1.49","1.175","1.28","1.35","1.35","19.37","15.275","46.575","6.21","0","0","11"
"9","1","8","1.56","1.2","1.32","1.4","1.4","20.28","15.6","48.3","6.44","0","0","11"
"10","1","9","1.63","1.225","1.36","1.45","1.45","21.19","15.925","50.025","6.67","0","0","11"
"11","2","0","1.65","1.45","1.4","1.5","1.5","21.45","18.85","51.75","6.9","120","16","21"
"12","2","1","1.7655","1.48625","1.456","1.575","1.575","22.952","19.321","54.338","7.245","0","0","21"
"13","2","2","1.881","1.5225","1.512","1.65","1.65","24.453","19.792","56.925","7.59","0","0","21"
"14","2","3","1.9965","1.55875","1.568","1.725","1.725","25.954","20.264","59.512","7.935","0","0","21"
"15","2","4","2.112","1.595","1.624","1.8","1.8","27.456","20.735","62.1","8.28","0","0","21"
"16","2","5","2.2275","1.63125","1.68","1.875","1.875","28.958","21.206","64.688","8.625","0","0","21"
"17","2","6","2.343","1.6675","1.736","1.95","1.95","30.459","21.678","67.275","8.97","0","0","21"
"18","2","7","2.4585","1.70375","1.792","2.025","2.025","31.961","22.149","69.863","9.315","0","0","21"
"19","2","8","2.574","1.74","1.848","2.1","2.1","33.462","22.62","72.45","9.66","0","0","21"
"20","2","9","2.6895","1.77625","1.904","2.175","2.175","34.964","23.091","75.038","10.005","0","0","21"
"21","3","0","2.7225","2.1025","1.96","2.25","2.25","35.392","27.332","77.625","10.35","192","26","31"
"22","3","1","2.913075","2.155062","2.0384","2.3625","2.3625","37.87","28.016","81.506","10.868","0","0","31"
"23","3","2","3.10365","2.207625","2.1168","2.475","2.475","40.347","28.699","85.387","11.385","0","0","31"
"24","3","3","3.294225","2.260188","2.1952","2.5875","2.5875","42.825","29.382","89.269","11.902","0","0","31"
"25","3","4","3.4848","2.31275","2.2736","2.7","2.7","45.302","30.066","93.15","12.42","0","0","31"
"26","3","5","3.675375","2.365312","2.352","2.8125","2.8125","47.78","30.749","97.031","12.937","0","0","31"
"27","3","6","3.86595","2.417875","2.4304","2.925","2.925","50.257","31.432","100.913","13.455","0","0","31"
"28","3","7","4.056525","2.470438","2.5088","3.0375","3.0375","52.735","32.116","104.794","13.972","0","0","31"
"29","3","8","4.2471","2.523","2.5872","3.15","3.15","55.212","32.799","108.675","14.49","0","0","31"
"30","3","9","4.437675","2.575562","2.6656","3.2625","3.2625","57.69","33.482","112.556","15.007","0","0","31"
"31","4","0","4.492125","3.048625","2.744","3.375","3.375","58.398","39.632","116.437","15.525","308","41","41"
"32","4","1","4.806574","3.124841","2.85376","3.54375","3.54375","62.485","40.623","122.259","16.301","0","0","41"
"33","4","2","5.121023","3.201056","2.96352","3.7125","3.7125","66.573","41.614","128.081","17.078","0","0","41"
"34","4","3","5.435471","3.277272","3.07328","3.88125","3.88125","70.661","42.605","133.903","17.854","0","0","41"
"35","4","4","5.74992","3.353488","3.18304","4.05","4.05","74.749","43.595","139.725","18.63","0","0","41"
"36","4","5","6.064369","3.429703","3.2928","4.21875","4.21875","78.837","44.586","145.547","19.406","0","0","41"
"37","4","6","6.378817","3.505919","3.40256","4.3875","4.3875","82.925","45.577","151.369","20.182","0","0","41"
"38","4","7","6.693266","3.582134","3.51232","4.55625","4.55625","87.012","46.568","157.191","20.959","0","0","41"
"39","4","8","7.007715","3.65835","3.62208","4.725","4.725","91.1","47.559","163.012","21.735","0","0","41"
"40","4","9","7.322164","3.734566","3.73184","4.89375","4.89375","95.188","48.549","168.834","22.511","0","0","41"
"41","5","0","7.412006","4.420506","3.8416","5.0625","5.0625","96.356","57.467","174.656","23.287","492","66","51"
"42","5","1","7.930847","4.531019","3.995264","5.315625","5.315625","103.101","58.903","183.389","24.452","0","0","51"
"43","5","2","8.449687","4.641532","4.148928","5.56875","5.56875","109.846","60.34","192.122","25.616","0","0","51"
"44","5","3","8.968528","4.752044","4.302592","5.821875","5.821875","116.591","61.777","200.855","26.781","0","0","51"
"45","5","4","9.487368","4.862557","4.456256","6.075","6.075","123.336","63.213","209.587","27.945","0","0","51"
"46","5","5","10.006208","4.97307","4.60992","6.328125","6.328125","130.081","64.65","218.32","29.109","0","0","51"
"47","5","6","10.525049","5.083582","4.763584","6.58125","6.58125","136.826","66.087","227.053","30.274","0","0","51"
"48","5","7","11.043889","5.194095","4.917248","6.834375","6.834375","143.571","67.523","235.786","31.438","0","0","51"
"49","5","8","11.56273","5.304607","5.070912","7.0875","7.0875","150.315","68.96","244.519","32.602","0","0","51"
"50","5","9","12.08157","5.41512","5.224576","7.340625","7.340625","157.06","70.397","253.252","33.767","0","0","51"
"51","6","0","12.22981","6.409734","5.37824","7.59375","7.59375","158.988","83.327","261.984","34.931","787","105","61"
"52","6","1","13.085897","6.569977","5.59337","7.973438","7.973438","170.117","85.41","275.084","36.678","0","0","61"
"53","6","2","13.941984","6.730221","5.808499","8.353125","8.353125","181.246","87.493","288.183","38.424","0","0","61"
"54","6","3","14.79807","6.890464","6.023629","8.732812","8.732812","192.375","89.576","301.282","40.171","0","0","61"
"55","6","4","15.654157","7.050707","6.238758","9.1125","9.1125","203.504","91.659","314.381","41.917","0","0","61"
"56","6","5","16.510244","7.210951","6.453888","9.492188","9.492188","214.633","93.742","327.48","43.664","0","0","61"
"57","6","6","17.366331","7.371194","6.669018","9.871875","9.871875","225.762","95.826","340.58","45.411","0","0","61"
"58","6","7","18.222417","7.531438","6.884147","10.251562","10.251562","236.891","97.909","353.679","47.157","0","0","61"
"59","6","8","19.078504","7.691681","7.099277","10.63125","10.63125","248.021","99.992","366.778","48.904","0","0","61"
"60","6","9","19.934591","7.851924","7.314406","11.010937","11.010937","259.15","102.075","379.877","50.65","0","0","61"
"61","7","0","20.179187","9.294114","7.529536","11.390625","11.390625","262.329","120.823","392.977","52.397","1259","168","71"
"62","7","1","21.59173","9.526467","7.830717","11.960156","11.960156","280.692","123.844","412.625","55.017","0","0","71"
"63","7","2","23.004273","9.75882","8.131899","12.529688","12.529688","299.056","126.865","432.274","57.637","0","0","71"
"64","7","3","24.416816","9.991173","8.43308","13.099219","13.099219","317.419","129.885","451.923","60.256","0","0","71"
"65","7","4","25.829359","10.223526","8.734262","13.66875","13.66875","335.782","132.906","471.572","62.876","0","0","71"
"66","7","5","27.241902","10.455879","9.035443","14.238281","14.238281","354.145","135.926","491.221","65.496","0","0","71"
